titles
"Visit of Vice President Shri Jagdeep Dhankhar to London, United Kingdom(May 05-06, 2023)"
"Visit of Vice President of India to Qatar (November 20-21, 2022)"
"Visit of Vice President of India to Cambodia (November  11-13, 2022)"
"Visit of Vice President to Gabon, Senegal and Qatar (May 30-June 07, 2022)"
"Visit of Vice President to the UAE ( May 15, 2022)"
"Visit of Vice President to Azerbaijan (October 25-26, 2019)"
"Visit of Vice President to Comoros and Sierra Leone (October 10-14, 2019)"
"Visit of Vice President to Lithuania, Latvia and Estonia (August 17-22, 2019)"
"Official Visit of Vice President to Vietnam (May 9-12, 2019)"
"Visit of Vice President to Paraguay and Costa Rica (March 05-09, 2019)"
"Visit of Vice President to France (November 09-11, 2018)"
"Visit of Vice President to Botswana, Zimbabwe and Malawi (October 31 - November 6, 2018)"
"Visit of Vice President to Belgium to attend 12th ASEM Summit (October 18-20, 2018)"
"Visit of Vice President to Serbia, Malta and Romania (Sep 14-20, 2018)"
"Visit of Vice President to USA (September 8-9, 2018)"
"Visit of Vice President to Guatemala, Panama and Peru (May 06-11, 2018)"
"Visit of Vice President to Poland (April 26-28, 2017)"
"Visit of Vice President to Armenia (April 24-26, 2017)"
"Visit of Vice President to Jakarta to attend IORA Leaders' Summit (March 6-7, 2017)"
"Visit of Vice President to Uganda (February 21-23, 2017)"
"Visit of Vice President to Rwanda (February 19-21, 2017)"
"Visit of Vice President to Algeria (October 17-19, 2016)"
"Visit of Vice President to Hungary (October 15-17, 2016)"
"Visit of Vice President to Mali (September 29-30, 2016)"
"Visit of Vice President to Nigeria (September 26-29, 2016)"
"Visit of Vice President to Venezuela for 17th NAM Summit (September 16-18, 2016)"
"Visit of Vice President to Mongolia for 11th ASEM Summit (July 14-16, 2016)"
"Visit of Vice President to Tunisia (June 02-03, 2016)"
"Visit of Vice President to Morocco (May 30- June 01, 2016)"
"Visit of Vice President to Brunei (February 01-03, 2016)"
"Visit of Vice President to Thailand (February 03-05, 2016)"
"Visit of Vice President to Turkmenistan (December 11-13, 2015)"
"Visit of Vice President to Indonesia (November 1-4, 2015)"
"Visit of Vice President to Cambodia(September 15-17, 2015)"
"Visit of Vice President to Lao PDR (September 17-18, 2015)"
"Official Visit of Vice President to China (June 26-30, 2014)"
"Vice President visit to Peru, Cuba and UK (October 25 to November 2, 2013)"
"Visit of Vice President to Iran (August 4, 2013)"
"Vice-President’s visit to Ethiopia to Attend Golden Jubilee Celebrations of Africa Union (25-26 May,"
"Vice President’s visit to Uzbekistan, May 21-24, 2013"
"Vice President’s visit to Tajikistan (April 14-17, 2013)"
"Vice President's visit to Vietnam (14-17 January, 2013)"
Visit of VP to Juba & Kampala
Visit of VP to Dhaka
