titles
"Visit of External Affairs Minister Dr. S Jaishankar to Perth, Australia (February 09-10, 2024)"
"Visit of External Affairs Minister to Uganda and Nigeria (January 19-23, 2024)"
"Visit of External Affairs Minister, Dr. S. Jaishankar to Iran (January 14-15, 2024)"
"Visit of External Affairs Minister, Dr. S. Jaishankar to Nepal (January 04-05, 2024)"
"Visit of External Affairs Minister to Russia (December 25-29, 2023)"
"Visit of External Affairs Minister Dr. S. Jaishankar to the United Kingdom (November 11-15, 2023)"
Visit of External Affairs Minister to Portugal and Italy (31st October – 3rd November 2023)
"Visit of External Affairs Minister, Dr. S. Jaishankar to the Kyrgyz Republic (October 25-26, 2023)"
"Visit of External Affairs Minister to Vietnam and Singapore (October 15-20, 2023)"
"Visit of External Affairs Minister, Dr. S. Jaishankar to Sri Lanka (October 10-12, 2023)"
"Visit of EAM to Indonesia and Thailand (July 12-18, 2023)"
"Visit of EAM to United Republic of Tanzania (July 05-08, 2023)"
"Visit of EAM to Republic of South Africa and the Republic of Namibia (June 01-06, 2023)"
"Visit of EAM to Bangladesh, Sweden and Belgium (May 11-16, 2023)"
"Visit of EAM to Guyana, Panama, Colombia and Dominican Republic (April 21-29, 2023)"
"Visit of EAM to Republic of Uganda and Republic of Mozambique (April 10-15, 2023)"
"Visit of EAM to Fiji and Australia (February 15-18, 2023)"
"Visit of External Affairs Minister to Maldives and Sri Lanka (January 18-20, 2023)"
"Visit of EAM to Republic of Cyprus and Austria (December 29, 2022 - January 03, 2023)"
"Visit of External Affairs Minister to the New York, United States of America (December 13-15, 2022)"
"Visit of External Affairs Minister to the Russian Federation (November 07-08, 2022)"
"Visit of External Affairs Minister to the Arab Republic of Egypt (October 15-16, 2022)"
"Visit of External Affairs Minister to New Zealand and Australia (October 05-11, 2022)"
"Visit of External Affairs Minister to the United States of America (September 18-28, 2022)"
"Visit of External Affairs Minister to the Kingdom of Saudi Arabia (September 10-12, 2022)"
"Visit of External Affairs Minister to Japan (September 07-10, 2022)"
"Visit of External Affairs Minister to UAE (August 31- September 02, 2022)"
"Visit of the External Affairs Minister to Brazil, Paraguay and Argentina (August 22-27, 2022)"
"Visit of External Affairs Minister to Bangkok, Thailand (August 16-18, 2022)"
"Visit of External Affairs Minister to Cambodia (August 03-04, 2022)"
Visit of External Affairs Minister to Tashkent for SCO Council of Foreign Ministers’ Meeting (July 2
"Visit of External Affairs Minister of India to Slovakia and Czech Republic (June 02-06, 2022)"
"Visit of External Affairs Minister to Bangladesh and Bhutan (April 28-30, 2022)"
"Visit of External Affairs Minister to the United States of America (April 11-12, 2022)"
"Visit of External Affairs Minister to Maldives and Sri Lanka (March 26-30, 2022)"
"Visit of External Affairs Minister, Dr. S. Jaishankar, to Germany and France (February 18-23, 2022)"
"Visit of External Affairs Minister to Australia and Philippines (February 10-15, 2022)"
"Visit of External Affairs Minister to Slovenia, Croatia and Denmark (September 02-05, 2021)"
Visit of External Affairs Minister to New York to chair India's Presidency Initiatives in the UN Sec
"Visit of External Affairs Minister to Iran (August 5-6, 2021)"
"Visit of EAM to Tajikistan for SCO Council of Foreign Ministers’ Meeting (July 13-14, 2021)"
"Visit of External Affairs Minister to Georgia (July 09-10, 2021)"
"Visit of External Affairs Minister to Russia (July 7-9, 2021)"
"Visit of External Affairs Minister to the Republic of Kenya (June 12-14, 2021)"
"Visit of External Affairs Minister to Kuwait (June 9-11, 2021)"
"Visit of External Affairs Minister to the United States of America (May 24-28, 2021)"
"Visit of External Affairs Minister to the United Kingdom (May 3-6, 2021)"
"Visit of External Affairs Minister to Bangladesh (March 04, 2021)"
"Visit of External Affairs Minister to Maldives and Mauritius (February 20-24, 2021)"
"Visit of External Affairs Minister to Sri Lanka (January 5-7, 2021)"
"Visit of External Affairs Minister to Qatar (December 27-28, 2020)"
"Visit of EAM to Bahrain, UAE and Seychelles (November 24-29, 2020)"
"Visit of External Affairs Minister to Japan (October 06-07, 2020)"
"Visit of External Affairs Minister to Russia (September 09-10, 2020)"
"Visit of External Affairs Minister to Belgium (February 17, 2020)"
"Visit of External Affairs Minister to Germany (February 14-16, 2020)"
"Visit of External Affairs Minister to Tunisia (January 22-23, 2020)"
"Visit of External Affairs Minister to Republic of Niger (January 20-21, 2020)"
"Visit of External Affairs Minister to Oman (December 23-25, 2019)"
"Visit of External Affairs Minister to Iran (December 22-23, 2019)"
"Visit of External Affairs Minister to Canada (December 19-20, 2019)"
"Visit of External Affairs Minister to Washington, USA (December 17-18, 2019)"
Visit of External Affairs Minister to Italy
Visit of External Affairs Minister to Japan to attend G20 Foreign Minister's Meeting (November 22-23
"Visit of External Affairs Minister to Paris (11-12 November, 2019)"
"Visit of External Affairs Minister to The Netherlands (9-11 November, 2019)"
"Visit of External Affairs Minister to Serbia (7-9 November, 2019)"
"Official Visit of External Affairs Minister to Finland (September 19-21, 2019)"
"Visit of External Affairs Minister to Maldives (September 03-04, 2019)"
"Visit of External Affairs Minister to Indonesia and Singapore (September 04-10, 2019)"
"Visit of External Affairs Minister to Moscow (August 27-28, 2019)"
"Visit of External Affairs Minister to Nepal (August 21-22, 2019)"
"Visit of External Affairs Minister to Bangladesh (August 19-21, 2019)"
"Visit of External Affairs Minister to China (August 11-13, 2019)"
"Visit of External Affairs Minister to Bangkok, Thailand (August 1-2, 2019)"
Visit of External Affairs Minister to London for Commonwealth Foreign Affairs Ministers' Meeting
"Visit of External Affairs Minister to the 5th CICA Summit Meeting in Dushanbe (June 14-15, 2019)"
"Visit of External Affairs Minister to Bhutan (June 7-8, 2019)"
"Visit of External Affairs Minister to Maldives (March 17-18, 2019)"
"Visit of External Affairs Minister to Abu Dhabi, UAE (February 28-March 01, 2019)"
"Visit of External Affairs Minister to Wuznen, China for the 16th Foreign Ministers Meeting of Russia"
"Visit of External Affairs Minister to Bulgaria, Morocco and Spain (February 16-19, 2019)"
"Visit of External Affairs Minister to Samarkand,Uzbekistan for the First India-Central Asia Dialogue"
"Visit of External Affairs Minister to United Arab Emirates (December 03-04, 2018)"
"Visit of External Affairs Minister to Lao PDR (November 22-23, 2018)"
"Visit of External Affairs Minister to State of Qatar and State of Kuwait (October 28-31, 2018)"
"Visit of External Affairs Minister to Tajikistan (October 11-12, 2018)"
"Visit of External Affairs Minister to New York for 73rd UNGA  (September 22-27, 2018)"
"Visit of External Affairs Minister to Moscow (September 13-14, 2018)"
"Visit of External Affairs Minister to Vietnam and Cambodia (August 27-30, 2018)"
"Visit of External Affairs Minister to Republic of Kazakhstan, Kyrgyz Republic and Republic of Uzbeki"
"Visit of External Affairs Minister to Manama, Bahrain (July 14-15, 2018)"
"Visit of External Affairs Minister to Italy, France, Luxembourg, and Belgium (June 17-23, 2018)"
"Visit of External Affairs Minister to South Africa (June 3-7, 2018)"
"Visit of External Affairs Minister to Myanmar (May 10-11, 2018)"
"Visit of External Affairs Minister to Mongolia (April 25-26, 2018)"
"Visit of External Affairs Minister to China (April 21-24, 2018)"
"Visit of External Affairs Minister to Azerbaijan (April 04-06, 2018)"
"Visit of External Affairs Minister to Japan (March 28-30, 2018)"
"Visit of External Affairs Minister to Saudi Arabia (February 6-8, 2018)"
"Visit of External Affairs Minister to Nepal (February 1-2, 2018)"
"Visit of External Affairs Minister to Thailand, Indonesia and Singapore (January 4-8, 2018)"
"Visit of External Affairs Minister to Sochi, Russia (November 29 - December 01, 2017)"
"Visit of External Affairs Minister of India to Bangladesh (October 22-23, 2017)"
Visit of External Affairs Minister to USA for 72nd Session of UN General Assembly
"Visit of External Affairs Minister to Russia (September 5-7, 2017)"
"Visit of External Affairs Minister to Sri Lanka ( August 31- September 1, 2017)"
"Visit of External Affairs Minister to Nepal (August 10-11, 2017)"
"Visit of External Affairs Minister to Italy (September 02-05, 2016)"
"Visit of External Affairs Minister to Russia (April 17-19, 2016)"
"Visit of External Affairs Minister to Iran (April 16-17, 2016)"
"Visit of External Affairs Minister to Nepal (March 16-17, 2016)"
"Visit of External Affairs Minister to Nepal (February 09, 2016)"
"Visit of External Affairs Minister to Sri Lanka (February 05-06, 2016)"
