titles
"State Visit of Prime Minister of Greece to India (February 21-22, 2024)"
"State Visit of the President of France to India (January 25-26, 2024)"
"State Visit of His Majesty Sultan Haitham Bin Tarik, the Sultan of Oman to India (December 15-17, 2023)"
"State Visit of President of the Republic of Kenya to India (December 04-06, 2023)"
"State visit of President of the United Republic of Tanzania to India (October 8-10, 2023)"
"Official visit of Minister of Foreign and European Affairs and Trade of the Republic of Malta to India (October 06-08, 2023)"
"Official Visit of Vice President of the Dominican Republic to India (October 03-05, 2023)"
"State Visit of H.R.H. Prince Mohammed Bin Salman Bin Abdulaziz Al-Saud, Crown Prince & Prime Minister of the Kingdom of Saudi Arabia to India (September 09-11, 2023)"
"Official Visit of President of the Democratic Socialist Republic of Sri Lanka to India (July 20-21, 2023)"
"Official Visit of Prime Minister of Nepal to India (May 31- June 03, 2023)"
"State Visit of His Majesty the King of Cambodia to India (May 29-31, 2023)"
"Visit of Minister of Foreign Affairs of the Republic of Korea to India (April 07-08, 2023)"
"Visit of His Majesty The King of Bhutan to India (April 03-05, 2023)"
"Official Visit of Prime Minister of Japan to India (March 20-21, 2023)"
"State Visit of Prime Minister of Australia to India (March 08-11, 2023)"
"State Visit of PM of Italy to India (March 02-03, 2023)"
"Visit of Chancellor of the Federal Republic of Germany to India (February 25-26, 2023)"
"Visit of Minister of Foreign Affairs of New Zealand to India (February 07-10, 2023)"
"Visit of Deputy Prime Minister of Fiji to India (February 05-10, 2023)"
"State Visit of President of Egypt to India (January 24-26, 2023)"
"Visit of Prime Minister of Bangladesh to India (September 05-08, 2022)"
"Official visit of President of Maldives to India (August 01-04, 2022)"
"Visit of the Prime Minister of the United Kingdom to India (April 21-22, 2022)"
"Visit of Prime Minister of Mauritius to India (April 17-24, 2022)"
"Visit of the Prime Minister of Nepal to India (April 01-03, 2022)"
"Visit of His Excellency Mr. KISHIDA Fumio, Prime Minister of Japan to India (March 19-20, 2022)"
"Visit of President of the Russian Federation to India (December 6, 2021)"
"State Visit of Prime Minister of Kingdom of Denmark (October 9-11, 2021)"
"Visit of Vice President and Minister of Foreign Affairs of the Republic of Colombia to India (October 01-04, 2021)"
"Visit of Minister for Foreign Affairs and Minister for Women of Australia to India (September 10-12, 2021)"
"Visit of Antony J. Blinken, Secretary of State of the United States of America (July 27-28, 2021)"
"Visit of President-Elect of the 76th General Assembly of the United Nations and Minister of Foreign Affairs of Maldives to India (July 22-24, 2021)"
"Visit of Minister of Foreign Affairs of Maldives to India (April 14-17, 2021)"
"Visit of French Minister for Europe and Foreign Affairs to India (April 12-16, 2021)"
"Visit of Minister of Foreign Affairs of the State of Eritrea (April 7-12, 2021)"
"Official visit of Minister of Foreign Affairs of the Kingdom of Bahrain to India (April 6 - 8, 2021)"
"Visit of Minister of Foreign Affairs of the Russian Federation to India (April 5-6, 2021)"
"Visit of Minister of Foreign Affairs of the Islamic Republic of Afghanistan to India (March 22-24, 2021)"
"Visit of  Minister of Foreign Affairs and Minister of State of Cabinet Affairs of the State of Kuwait (March 17-18, 2021)"
"Visit of Minister of Foreign Affairs and International Cooperation of the United Arab Emirates to India (February 25-26, 2021)"
"Official Visit of Foreign Minister of Nepal to India (January 14-16, 2021)"
"Visit of Foreign Secretary of UK to India (December 14-17, 2020)"
"Visit of Secretary of State of USA to India for 2+2 Ministerial Dialogue (October 26-27, 2020)"
"Official Visit of Chairman of the High Council of National Reconciliation of Afghanistan (October 06-11, 2020)"
