titles
"State Visit of the President to the Republic of Suriname and the Republic of Serbia (June 4-9, 2023)"
"Visit of President to the United Kingdom (September 17-19, 2022)"
"State Visit of President to Jamaica and St. Vincent & Grenadines (May 15-21, 2022)"
"State Visit of the President of India to Turkmenistan and  Netherlands (April 1-7, 2022)"
"State Visit of the President of India to Bangladesh (December 15-17, 2021)"
"Visit of President to Philippines and Japan (October 17-23, 2019)"
"Visit of President to Iceland, Switzerland and Slovenia (September 9-17, 2019)"
"State Visit of the President of India to Benin, The Gambia and Guinea (July 28 -3 August 2019)"
"State Visit of President to Croatia, Bolivia and Chile (March 25 - April 2, 2019)"
"State Visit of President to Myanmar (December 10-14, 2018)"
"State Visit of President to Vietnam and Australia (November 18-24, 2018)"
"State Visit of President to Tajikistan (October 7-9, 2018)"
"State Visit of President to Cyprus, Bulgaria and Czech Republic (September 02-09, 2018)"
"Visit of President to Greece, Suriname and Cuba (June 16-24, 2018)"
"State Visit of the President of India to Equatorial Guinea, Swaziland and Zambia (April 7-12, 2018)"
"Visit of President to Madagascar (March 14-15, 2018)"
"Visit of President to Mauritius (March 11-14, 2018)"
"Visit of President to Djibouti (October 03-04, 2017)"
"Visit of President to Ethiopia (October 04-06, 2017)"
"Visit of President to Nepal (November 02-04, 2016)"
"Visit of President to Namibia (June 15-17, 2016)"
"Visit of President to Cote d'Ivoire (June 14-15, 2016)"
"Visit of President to Ghana (June 12-14, 2016)"
"Visit of President to China (May 24-27, 2016)"
Visit of President to New Zealand (April 30-02 May 2016)
"Visit of President to Papua New Guinea (April 28-29, 2016)"
"State Visit of President to Israel (October 13-15, 2015)"
"State Visit of President to Jordan (October 10-12, 2015)"
"State Visit of President to Palestine (October 12-13, 2015)"
"Visit of President to Sweden (May 31- June 2, 2015)"
"Visit of President to Belarus (June 2-4, 2015)"
"Visit of President to Russia (May 07-11, 2015)"
"State Visit of President to Bhutan (November 7-8, 2014)"
"Visit of President to Finland (October 14-16, 2014)"
"Visit of President to Norway (October 13-14, 2014)"
"Visit of President to Vietnam (September 14-17, 2014)"
"Visit of President to Belgium (October 2-5, 2013)"
"Visit of President to Turkey (October 5-8, 2013)"
"State Visit of President Shri Pranab Mukherjee to Mauritius (March 11-13, 2013)"
"State Visit of President of India to Bangladesh (March 3-5, 2013)"
President visit to Seychelles And South Africa
President visit to Seychelles And South Africa
Visit of President to ROK & Mongolia
"Visit of President Dr. A.P.J. Abdul Kalam to Singapore, Philippines and Republic of Korea, January 3"
